"word","freq"
"always",10
"actually",10
"congrats",10
"pékin",10
"como",10
"una",10
"captainmilier",10
"say",10
"taiwanpresidentialelection",10
"پر",10
"von",10
"nous",10
"troublemaker",10
"से",10
"中国",10
"closed",10
"tonight",10
"ebc",10
"past",9
"blue",9
"piece",9
"resilience",9
"event",9
"activities",9
"weekend",9
"top",9
"taiwanplusnews",9
"fair",9
"claims",9
"worldnews",9
"geopolitical",9
"response",9
"takes",9
"bring",9
"especially",9
"key",9
"learn",9
"concerns",9
"external",9
"rule",9
"民眾黨",9
"intimidation",9
"called",9
"terrygou",9
"ching",9
"fight",9
"far",9
"setback",9
"yemenunderattack",9
"article",9
"hongkong",9
"progressiste",9
"grateful",9
"yui",9
"consecutive",9
"breakingnews",9
"den",9
"turn",9
"congratulates",9
"wish",9
"help",9
"administration",9
"nouveau",9
"maintaining",9
"democracia",9
"sovereign",9
"che",9
"made",9
"babarazam",9
"imrankhanpti",9
"بھی",9
"hamas",9
"قاضی",9
"جسٹس",9
"دیا",9
"بلےباز",9
"بلے",9
"انتظار",9
"freepalestine",9
"sean",9
"twelections",9
"dem",9
"das",9
"中華民國",9
"matter",8
"tells",8
"👉",8
"attempts",8
"online",8
"states",8
"uschina",8
"please",8
"leaders",8
"available",8
"fiction",8
"dynamics",8
"wang",8
"rise",8
"satellite",8
"across",8
"human",8
"invasion",8
"landscape",8
"ongoing",8
"mate",8
"report",8
"west",8
"social",8
"cant",8
"challenges",8
"role",8
"island’s",8
"kowenje",8
"conflict",8
"pivotal",8
"gennaio",8
"home",8
"coalition",8
"regime",8
"vibrant",8
"determination",8
"shows",8
"élections",8
"extend",8
"ddp",8
"chinesepropaganda",8
"failed",8
"success",8
"however",8
"together",8
"mean",8
"gravely",8
"times",8
"voto",8
"warnings",8
"fake",8
"us🇺🇸",8
"dpp’s",8
"blinken",8
"open",8
"eswatini",8
"➖",8
"weibonight",8
"inevitable",8
"done",8
"republic",8
"pro",8
"ready",8
"held",8
"pakistan",8
"afcon",8
"کہ",8
"خان",8
"انصاف",8
"تحریک",8
"ٹی",8
"रहे",8
"skijumpingfamily",8
"کمیشن",8
"manchester",8
"❤️",8
"thetraitors",8
"uranium",8
"台灣選舉",8
"possible",8
"palestina",8
"💚",8
"conceded",8
"partido",8
"houthi",8
"antiestablishment",8
"prodétente",8
"tactics",7
"rhetoric",7
"issue",7
"market",7
"🇺🇸",7
"bipartisan",7
"speaker",7
"kindle",7
"end",7
"hat",7
"wahl",7
"using",7
"american",7
"making",7
"warning",7
"bbccomnewsworldasia…",7
"taiwanspecial",7
"sees",7
"critical",7
"sway",7
"goal",7
"real",7
"giving",7
"lee",7
"closer",7
"insights",7
"interview",7
"ccps",7
"leads",7
"reports",7
"known",7
"blog",7
"uschinarelations",7
"hong",7
"reporting",7
"ani",7
"according",7
"heres",7
"electoral",7
"others",7
"founder",7
"🇹🇼🗳️",7
"force",7
"morning",7
"trump",7
"run",7
"lais",7
"ambitions",7
"congratulatory",7
"growth",7
"dalailama",7
"mainstream",7
"continued",7
"resisted",7
"wont",7
"doesnt",7
"clearly",7
"among",7
"looking",7
"milkteaalliance",7
"concedes",7
"cartoon",7
"smooth",7
"ccpchina",7
"deeply",7
"indopacific",7
"exemplified",7
"spirited",7
"concern",7
"aircraft",7
"autonomy",7
"warned",7
"green",7
"france",7
"following",7
"strongly",7
"successful",7
"este",7
"peuple",7
"fakhar",7
"indvafg",7
"mohammadrizwan",7
"nzvpak",7
"shaheenafridi",7
"huge",7
"تو",7
"ones",7
"ایک",7
"ہے۔",7
"रहा",7
"اب",7
"چیف",7
"بلا",7
"آئی",7
"پی",7
"हैं",7
"نشان",7
"ہیں",7
"staracademy",7
"الاٹ",7
"ein",7
"list",7
"élu",7
"nytimescomworld…",7
"plus",7
"victorious",7
"stations",7
"nicht",7
"demokratie",7
"中华民国",7
"中國",7
"aja",7
"israele",7
"marrosso",7
"netanyahu",7
"ore",7
"papafrancesco",7
"tvittgvideotg…",7
"qingde",7
"bbccouknewsworldasia…",6
"wants",6
"rather",6
"shaping",6
"chips",6
"action",6
"perspective",6
"ships",6
"alert",6
"continues",6
"authoritarianism",6
"sont",6
"getting",6
"choosing",6
"start",6
"published",6
"claim",6
"aggression",6
"attempt",6
"drama",6
"aims",6
"imminent",6
"cyber",6
"tuned",6
"🇹🇼🇨🇳",6
"warfare",6
"elect",6
"beijing’s",6
"technology",6
"better",6
"meet",6
"taking",6
"rising",6
"indian",6
"supports",6
"decided",6
"selfruled",6
"watched",6
"stage",6
"🤔",6
"accuses",6
"meddling",6
"kong",6
"ask",6
"📢",6
"form",6
"seek",6
"brings",6
"newly",6
"less",6
"front",6
"speaks",6
"supporting",6
"rejecting",6
"update",6
"previous",6
"fighting",6
"whats",6
"given",6
"liu",6
"professor",6
"south",6
"pdp",6
"appreciates",6
"principle",6
"talk",6
"democratically",6
"represent",6
"unprecedented",6
"markets",6
"freetaiwan",6
"fuck",6
"example",6
"play",6
"chingtes",6
"más",6
"ont",6
"qui",6
"conversation",6
"⤵️",6
"fact",6
"fyp",6
"tibet",6
"félicitations",6
"feel",6
"ταϊβάν",6
"peking",6
"central",6
"detected",6
"ses",6
"maintains",6
"⬇️",6
"incl",6
"🎉",6
"dealing",6
"sure",6
"understand",6
"chinois",6
"somalia",6
"anyone",6
"means",6
"went",6
"record",6
"moment",6
"sono",6
"圖文報導：newsltncomtwnewspolitic…",6
"minutes",6
"small",6
"opportunity",6
"era",6
"vince",6
"favorable",6
"ไต้หวัน",6
"life",6
"victoire",6
"aditidv",6
"correspondent",6
"اللہ",6
"sehgalrahesha",6
"thread",6
"گیا",6
"ہو",6
"presidencial",6
"thousands",6
"independents",6
"ہے،",6
"فائز",6
"مجھے",6
"gewinnt",6
"صاحب",6
"journalist",6
"sehitlerimizvar",6
"mancity",6
"تک",6
"staracademylelive",6
"وقت",6
"کون",6
"economy",6
"और",6
"کیا",6
"started",6
"hai",6
"oficialista",6
"believe",6
"elección",6
"wionewscomworldtaiwanele…",6
"जीता",6
"की",6
"led",6
"asianikkeicompoliticstai…",6
"propékin",6
"either",6
"auf",6
"old",6
"updates",6
"ที่นั่ง",6
"swept",6
"stake",6
"tight",6
"eyes",6
"livenicovideojpwatchlv…",6
"sábado",6
"witness",6
"wionewscomvideostaiwanel…",6
"ucraina",6
"bloombergtv",6
"rallies",6
"democracies",5
"bloomberg",5
"true",5
"🔍",5
"civil",5
"ever",5
"partner",5
"officials",5
"poll",5
"months",5
"taiwanisnotchina",5
"low",5
"entre",5
"arms",5
"coverage",5
"amazon",5
"usnavy",5
"thing",5
"parliamentary",5
"able",5
"territory",5
"framing",5
"airspace",5
"don’t",5
"rivalry",5
"passed",5
"sent",5
"underway",5
"camp",5
"drive",5
"got",5
"raises",5
"attack",5
"taiwanais",5
"experts",5
"remain",5
"enjoy",5
"wonder",5
"brianhioe",5
"course",5
"photo",5
"increased",5
"trigger",5
"released",5
"press",5
"cat",5
"developments",5
"firstpostcomworldchinaur…",5
"comments",5
"weeks",5
"dialogue",5
"behind",5
"moves",5
"swing",5
"western",5
"赖清德",5
"latestnews",5
"trade",5
"everywhere",5
"firm",5
"frontrunner",5
"highlights",5
"quick",5
"gli",5
"focus",5
"emphasized",5
"financial",5
"bid",5
"alliance",5
"crowd",5
"guys",5
"theyre",5
"domestic",5
"discussion",5
"doctor",5
"kicks",5
"compared",5
"reported",5
"systems",5
"guatemala",5
"nyc",5
"paraguay",5
"hsinchu",5
"job",5
"air",5
"”",5
"tsaiingwen",5
"university",5
"résultats",5
"joint",5
"winner",5
"disrupt",5
"holiness",5
"tibetan",5
"due",5
"guerra",5
"executive",5
"seeing",5
"soon",5
"nigeljgreen",5
"probably",5
"based",5
"red",5
"view",5
"senior",5
"theguardiancomworldj…",5
"démocrate",5
"voix",5
"trending",5
"space",5
"loss",5
"leur",5
"lose",5
"reaction",5
"saw",5
"children",5
"xitler",5
"inalienable",5
"atmosphere",5
"att",5
"men",5
"putin",5
"ukraina",5
"sin",5
"laj",5
"poised",5
"value",5
"recognition",5
"regardless",5
"trouble",5
"comfortable",5
"spurn",5
"different",5
"member",5
"της",5
"पार्टी",5
"sunday",5
"bitcoin",5
"consistent",5
"pouvoir",5
"liberal",5
"l’élection",5
"paper",5
"almost",5
"control",5
"continuing",5
"newsx",5
"joebiden",5
"spokesperson",5
"track",5
"friendship",5
"reactions",5
"bloombergcomnewsarticles…",5
"observations",5
"non",5
"principles",5
"tai",5
"millions",5
"advocate",5
"showing",5
"enough",5
"four",5
"council",5
"safeguard",5
"✨",5
"ameen",5
"سب",5
"جس",5
"govt",5
"twindia",5
"یہ",5
"everything",5
"supremecourtofpakistan",5
"taiwan’s🇹🇼",5
"defend",5
"asked",5
"vitória",5
"came",5
"aljazeeracomnews…",5
"chin",5
"amigos",5
"آج",5
"انتخابی",5
"عمران",5
"اس",5
"لگتا",5
"पर",5
"decision",5
"lets",5
"boycottstarbucks",5
"nastp",5
"primeministerimrankhan",5
"everyone",5
"رہا",5
"ptisocialmediaexposed",5
"mohammedsaleh",5
"chance",5
"genocide",5
"taiwanés",5
"🔵",5
"✅",5
"committed",5
"gathering",5
"realizing",5
"🇹🇼🇹🇼🇹🇼",5
"bei",5
"separatista",5
"जीत",5
"excited",5
"cnncomasiataiw…",5
"thats",5
"après",5
"holds",5
"cette",5
"【台湾総統選",5
"firmly",5
"aus",5
"threeway",5
"menaces",5
"kohlantarp",5
"traitorsus",5
"notre",5
"台湾選挙",5
"democrático",5
"progresista",5
"vive",5
"comme",5
"trends",5
"ive",5
"gains",5
"対中路線の与党",5
"若者票が鍵を握る第三極",5
"親中路線の野党",5
"begun",5
"school",5
"relative",5
"femminicidio",5
"mediooriente",5
"salvini",5
"gears",5
"－",5
"wionewscomworldexplained…",5
"positions",4
"happen",4
"promote",4
"solidarity",4
"edge",4
"catch",4
"egmontinstitute",4
"jasperroctus",4
"publication",4
"𝗕𝗔𝗖𝗞𝗚𝗥𝗢𝗨𝗡𝗗",4
"𝗥𝗘𝗔𝗗𝗦",4
"iran",4
"scheduled",4
"explains",4
"shape",4
"society",4
"analyst",4
"spotted",4
"talking",4
"sending",4
"needs",4
"sobre",4
"police",4
"amazonbooks",4
"books",4
"kindlebooks",4
"newbooks",4
"speculative",4
"taiwancrisis",4
"balancing",4
"concerning",4
"eligible",4
"serious",4
"journalists",4
"expect",4
"commenting",4
"issued",4
"massive",4
"easy",4
"achieve",4
"bilateral",4
"launch",4
"holding",4
"moved",4
"events",4
"sentiment",4
"epardafas",4
"pardafas",4
"facebook",4
"stands",4
"🧵",4
"cut",4
"historical",4
"keverington",4
"elbridgecolby",4
"mark",4
"becomes",4
"diplomacy",4
"display",4
"discuss",4
"arent",4
"gives",4
"kmts",4
"enthusiastic",4
"chinataiwanrelations",4
"centre",4
"ceo",4
"counter",4
"raising",4
"cognitive",4
"monitor",4
"significant",4
"half",4
"asks",4
"actions",4
"development",4
"similar",4
"favor",4
"humble",4
"ensure",4
"maintain",4
"month",4
"note",4
"number",4
"opposed",4
"workers",4
"plans",4
"sign",4
"coup",4
"crossstraittensions",4
"democracyinaction",4
"emphasizing",4
"debate",4
"group",4
"strategy",4
"secure",4
"center",4
"laiqingde",4
"stakes",4
"tiktok",4
"instead",4
"youyi",4
"sparking",4
"continuous",4
"people’s",4
"outside",4
"unity",4
"cnn",4
"billionaire",4
"risk",4
"sparks",4
"prochina",4
"xis",4
"overseaschinese",4
"overseastaiwanese",4
"aux",4
"viceprésident",4
"‘",4
"unlikely",4
"andrasbartok",4
"conference",4
"matejsimalcik",4
"opening",4
"yatescomms",4
"taiwanus",4
"grave",4
"tibetans",4
"tibetrightscollectiveinnew…",4
"director",4
"higher",4
"indiataiwan",4
"present",4
"dismissed",4
"stating",4
"ensuring",4
"daily",4
"entire",4
"mandate",4
"fundamental",4
"freedoms",4
"law",4
"transparency",4
"emergingmarkets",4
"sea",4
"ustaiwan",4
"fellow",4
"gets",4
"hour",4
"complex",4
"puppet",4
"macau",4
"favour",4
"declared",4
"fdebate",4
"details",4
"oppose",4
"happening",4
"god",4
"icj",4
"electioncommission",4
"build",4
"sinotaiwanconflict",4
"matters",4
"chair",4
"policies",4
"trend",4
"acknowledged",4
"prime",4
"ett",4
"är",4
"país",4
"supported",4
"propaganda",4
"lindépendance",4
"point",4
"commission",4
"fraud",4
"kazakhstan",4
"likeminded",4
"achievements",4
"affirmation",4
"writes",4
"yingjeou",4
"integral",4
"row",4
"congratulazioni",4
"continuity",4
"shown",4
"🟥🇸🇿🇹🇼",4
"covering",4
"repeated",4
"level",4
"amnagrhomearticle…",4
"και",4
"कर",4
"वोट",4
"fate",4
"defying",4
"hung",4
"tough",4
"doesn’t",4
"opponent",4
"minority",4
"bravo",4
"words",4
"person",4
"problem",4
"regard",4
"mukuljrsharma",4
"serve",4
"county",4
"indigenous",4
"taichung",4
"return",4
"mundo",4
"meritnewscomtaiwanpresi…",4
"pismenkaztchajwanu",4
"potus",4
"whitehouse",4
"binhua",4
"bat",4
"users",4
"abcnewsgocominternational…",4
"testament",4
"globally",4
"ppl",4
"car",4
"mixed",4
"•",4
"electing",4
"tell",4
"byebyepti",4
"terms",4
"پاک",4
"ہم",4
"amazing",4
"wie",4
"اپنے",4
"impone",4
"’m",4
"triumph",4
"👍",4
"parlament",4
"parabéns",4
"presidencia",4
"taipeitimescomnewsfronta…",4
"eight",4
"seat",4
"determined",4
"بیرسٹر",4
"عدالت",4
"کریں",4
"گوہر",4
"گے،",4
"دیا۔۔۔",4
"رہے",4
"aber",4
"book",4
"solve",4
"پاکستان",4
"imrankhan",4
"तमाशा",4
"सब",4
"dylanwang",4
"بات",4
"لیا",4
"अब",4
"क्या",4
"۔۔۔",4
"جاری",4
"توسیع",4
"difficult",4
"ends",4
"football",4
"allah",4
"single",4
"opponents",4
"بار",4
"svobodu",4
"self",4
"evening",4
"russian",4
"ene",4
"stated",4
"things",4
"land",4
"sido",4
"fuerza",4
"excitement",4
"consensus",4
"विलियम",4
"wishes",4
"guess",4
"otdirectoe",4
"meanwhile",4
"gana",4
"très",4
"politician",4
"danger",4
"severe",4
"🇹🇼taiwanelections",4
"npp",4
"bureaux",4
"whose",4
"ground",4
"step",4
"台湾大选",4
"decide",4
"台湾总统大选",4
"‼️",4
"czech",4
"faith",4
"victoria",4
"kucoin",4
"michaeljordan",4
"readmore",4
"terrorists",4
"𝐓𝐚𝐢𝐰𝐚𝐧",4
"indépendant",4
"🔵kmt",4
"thinks",4
"urnas",4
"💚❤️",4
"total",4
"dictatorship",4
"wahlen",4
"contest",4
"pledged",4
"demokratik",4
"ยามเฝ้าจอ",4
"rapprochement",4
"headline",4
"democrazia",4
"taiwannewscomtwennews…",4
"maintenant",4
"chinakritischer",4
"präsidentschaftswahl",4
"🗳",4
"box",4
"intervened",4
"rigged",4
"someone",4
"switched",4
"⚪️",4
"tagesspiegeldeinternationa…",4
"escalating",4
"internationalnews",4
"selon",4
"台灣總統大選",4
"favorito",4
"guerre",4
"escalation",4
"significance",4
"headed",4
"dépouillement",4
"literally",4
"district",4
"correct",4
"   總統大選",4
"ctv",4
"denechen",4
"spoke",4
"democrats",4
"future🙏🙏🥰🇹🇼",4
"khmer",4
"keeping",4
"enminghuiorghtmlarticles…",4
"order",3
"preferred",3
"unitedstates",3
"orfamericas",3
"trading",3
"cambridgefames",3
"left",3
"register",3
"alarm",3
"concerned",3
"darrell",3
"feingold",3
"ross",3
"sounds",3
"balloon",3
"meeting",3
"defence",3
"desde",3
"ser",3
"todo",3
"importance",3
"push",3
"weapons",3
"priority",3
"ambassador",3
"facto",3
"cast",3
"name",3
"auch",3
"edition",3
"thoughts",3
"false",3
"southern",3
"launched",3
"🔴",3
"streets",3
"targeting",3
"spread",3
"tries",3
"unfolds",3
"chinataiwantensions",3
"preparing",3
"normal",3
"suit",3
"vie",3
"aisa",3
"whether",3
"cdnpoli",3
"several",3
"attempting",3
"leaving",3
"prepare",3
"stone",3
"unturned",3
"lenka",3
"tuesday",3
"akankshaswarups",3
"interfere",3
"jaw",3
"hit",3
"points",3
"supporter",3
"exclusive",3
"facing",3
"lessons",3
"contrary",3
"exchanges",3
"paying",3
"challenge",3
"conduct",3
"seeks",3
"suggest",3
"lisaishereone",3
"trusted",3
"bangladesh",3
"approaches",3
"crossstraitrelations",3
"speculation",3
"guardian",3
"solid",3
"observers",3
"underscores",3
"reject",3
"defenses",3
"monitoring",3
"scrutiny",3
"🇨🇳🇹🇼",3
"expressing",3
"saying",3
"taipeis",3
"something",3
"reiterates",3
"asserts",3
"urges",3
"avoiding",3
"securing",3
"strategies",3
"“taiwan",3
"effort",3
"della",3
"approaching",3
"calm",3
"vigilant",3
"immediate",3
"launches",3
"operations",3
"plan",3
"summary",3
"case",3
"aninewsinnewsworldasiac…",3
"coast",3
"resolve",3
"humanrights",3
"intelligence",3
"gioco",3
"friday",3
"housing",3
"nature",3
"favoring",3
"certain",3
"communication",3
"corruption",3
"prioritize",3
"democracymatters",3
"taiwanpolitics",3
"biggest",3
"officially",3
"ticket",3
"business",3
"tech",3
"pride",3
"➡️",3
"syaru",3
"roundtable",3
"host",3
"yesterday",3
"powerful",3
"capturing",3
"maker",3
"reuterscomworldasiapacif…",3
"often",3
"announced",3
"plays",3
"received",3
"runs",3
"standwithtaiwan",3
"mayor",3
"prof",3
"research",3
"looms",3
"presidentialelections",3
"⚖️",3
"associate",3
"expert",3
"nytimes",3
"roger",3
"mzinkanell",3
"polcap",3
"pssiprague",3
"présidentielles",3
"primed",3
"rooted",3
"representation",3
"shilinabolan",3
"netherlands’🇳🇱",3
"philippines",3
"internationalrelations",3
"struggle",3
"emphasising",3
"messages",3
"underscore",3
"tied",3
"eeuu",3
"través",3
"inewscoukopinionchinasd…",3
"toward",3
"noccpgenocide",3
"contrast",3
"evilchina",3
"liberty",3
"thatischina",3
"avoid",3
"failure",3
"mention",3
"alter",3
"sabotage",3
"tried",3
"anticipate",3
"steadfast",3
"relief",3
"agenda",3
"nations",3
"hey",3
"shift",3
"rivals",3
"pacific",3
"taiwanchina",3
"wwiii",3
"panel",3
"goodreads",3
"contesting",3
"bless",3
"etfs",3
"foodie",3
"foodies",3
"fypage",3
"nflplayoffs foodies",3
"nfl ",3
"ocart",3
"sports",3
"supereagles",3
"written",3
"staff",3
"🇱🇹",3
"gained",3
"secured",3
"globalpolitics",3
"line",3
"found",3
"tras",3
"và",3
"démocratique",3
"législatives",3
"acknowledgment",3
"bold",3
"taiwaninitalia",3
"giuliapompili",3
"bad",3
"…",3
"kosmodromiogrp",3
"κίνας",3
"την",3
"τις",3
"det",3
"kina",3
"med",3
"och",3
"cédulas",3
"sem",3
"rock",3
"जिसे",3
"नहीं",3
"बना",3
"वो",3
"pas",3
"mfachina",3
"population",3
"prezident",3
"tchajwanu",3
"že",3
"australia🇦🇺",3
"foster",3
"thriving",3
"grounded",3
"connections",3
"existing",3
"strengthening",3
"yang",3
"opposes",3
"delivering",3
"satellites",3
"without",3
"meaning",3
"gold",3
"price",3
"xauusd",3
"affair",3
"ire",3
"theres",3
"τη",3
"अपनी",3
"था",3
"है।",3
"commendable",3
"kudos",3
"living",3
"beacon",3
"epstein",3
"jeffrey",3
"heightened",3
"calling",3
"wonderful",3
"rejected",3
"worlds",3
"light",3
"mood",3
"plot",3
"selfdetermination",3
"accounts",3
"narendramodi",3
"sanahashmi",3
"thechinaproblem",3
"ddps",3
"map",3
"dune",3
"spurned",3
"crossed",3
"мир",3
"english",3
"विरोधी",3
"statements",3
"tesyeuxsurlemonde",3
"toute",3
"hand",3
"north",3
"numbers",3
"verkiezingen",3
"afford",3
"common",3
"kmttpp",3
"prez",3
"incoming",3
"definitely",3
"rishabhgulati",3
"sana",3
"telecast",3
"along",3
"concluded",3
"standing",3
"puede",3
"repbera",3
"partito",3
"vinto",3
"vous",3
"stratnewsglobal",3
"reacts",3
"interviewed",3
"ale",3
"protest",3
"“lai",3
"ganó",3
"mayoría",3
"oficialismo",3
"conditions",3
"jinpings",3
"deputy",3
"awaits",3
"condemns",3
"στη",3
"belle",3
"reality",3
"taken",3
"consequences",3
"proccp",3
"taiwan”",3
"outgoing",3
"sense",3
"dismiss",3
"prove",3
"try",3
"allow",3
"chosen",3
"willing",3
"flags",3
"preserve",3
"worst",3
"disaster",3
"scale",3
"keys",3
"lot",3
"bbvipal",3
"🇪🇺",3
"views",3
"stopchina",3
"facilitate",3
"particularly",3
"ruled",3
"put",3
"thought",3
"partners",3
"atas",3
"faces",3
"eleetv",3
"رکھے",3
"نہ",3
"ہر",3
"party’s",3
"🙏🏻",3
"ابھی",3
"vor",3
"saturdays",3
"là",3
"“tsai",3
"memes",3
"libre",3
"nuevo",3
"ftcomcontentbcb…",3
"pela",3
"fear",3
"tajwan",3
"animadas",3
"estamos",3
"خان۔۔۔",3
"علی",3
